fold,test_load,float_accuracy,float_f1,int8_accuracy,epochs,best_val_loss,best_val_accuracy,num_parameters,tflite_size_bytes,tflite_size_kb
test_load_0,0,0.6000000238418579,0.4541666666666666,0.7,100,0.6718395352363586,0.6666666865348816,1652,5672,5.5390625
test_load_1,1,0.8999999761581421,0.7142857142857143,0.9,100,0.846717357635498,0.8333333134651184,1652,5672,5.5390625
test_load_2,2,0.8999999761581421,0.7142857142857143,0.9,100,0.7432425618171692,0.8333333134651184,1652,5672,5.5390625
test_load_3,3,0.30000001192092896,0.16666666666666666,0.4,31,3.5373804569244385,0.6666666865348816,1652,5672,5.5390625
